fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-17,IED-D,Facultad de Derecho,DERECHO,INTRODUCCIÓN AL ESTUDIO DEL DERECHO I,04,09:45-11:15,Ma-Jue,PRIMERA,DIFERIDA,35,1,PRESENCIAL
2022-03-17,CYCOI-T,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,INGLÉS TÉCNICO III (CONTABILIDAD DE COSTOS),01,06:30-08:00,Ma-Jue-Sab,SEGUNDA,ORDINARIA,19,16,EN LINEA
2022-03-17,DPWEB-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,DESARROLLO DE LA PLATAFORMA WEB,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,55,51,EN LINEA
2022-03-17,ADCC-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ADMÓN. DE CENTROS DE CÓMPUTO,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,66,65,EN LINEA
2022-03-17,ELE1-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ELECTRÓNICA,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,45,45,EN LINEA
2022-03-17,MATE-E,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA I,02,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,82,76,EN LINEA
2022-03-17,PAV1-T,Facultad de Ciencias Empresariales,NEGOCIOS,PLANEACIÓN AGENCIA DE VIAJES I,01,17:00-18:30,Ma-Jue,PRIMERA,DIFERIDA,72,1,EN LINEA
2022-03-17,TEEV-H,Facultad de Ciencias Sociales,IDIOMAS,TÉCNICAS DE EVALUACIÓN,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,87,85,EN LINEA
2022-03-17,MAT1-T,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA I,02,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,40,34,EN LINEA
2022-03-17,AIMC-A,Facultad de Ciencias Sociales,ANTROPOLOGIA,ANÁLISIS E INTERPRETACIÓN DE MATERIALES CULTURALES,01,17:00-20:00,Jue,SEGUNDA,ORDINARIA,5,4,EN LINEA
